image,location,mirror,lag
dot,"[2.25,8.75]","[-2.25,8.75]",0.5
dot,"[2.25,6.25]","[-2.25,6.25]",1
dot ,"[2.25,3.75]","[-2.25,3.75]",1.5
dot ,"[2.25,1.25]","[-2.25,1.25]",2
dot ,"[2.25,-1.25]","[-2.25,-1.25]",2.5
dot ,"[2.25,-3.75]","[-2.25,-3.75]",3
dot ,"[2.25,-6.25]","[-2.25,-6.25]",0.5
dot ,"[2.25,-8.75]","[-2.25,-8.75]",1
dot ,"[4.75,8.75]","[-4.75,8.75]",1.5
dot ,"[4.75,6.25]","[-4.75,6.25]",2
dot ,"[4.75,3.75]","[-4.75,3.75]",2.5
dot ,"[4.75,1.25]","[-4.75,1.25]",3
dot ,"[4.75,-1.25]","[-4.75,-1.25]",0.5
dot ,"[4.75,-3.75]","[-4.75,-3.75]",1
dot ,"[4.75,-6.25]","[-4.75,-6.25]",1.5
dot ,"[4.75,-8.75]","[-4.75,-8.75]",2
dot ,"[7.25,8.75]","[-7.25,8.75]",2.5
dot ,"[7.25,6.25]","[-7.25,6.25]",3
dot ,"[7.25,3.75]","[-7.25,3.75]",0.5
dot ,"[7.25,1.25]","[-7.25,1.25]",1
dot ,"[7.25,-1.25]","[-7.25,-1.25]",1.5
dot ,"[7.25,-3.75]","[-7.25,-3.75]",2
dot ,"[7.25,-6.25]","[-7.25,-6.25]",2.5
dot ,"[7.25,-8.75]","[-7.25,-8.75]",3
dot ,"[9.75,8.75]","[-9.75,8.75]",0.5
dot ,"[9.75,6.25]","[-9.75,6.25]",1
dot ,"[9.75,3.75]","[-9.75,3.75]",1.5
dot ,"[9.75,1.25]","[-9.75,1.25]",2
dot ,"[9.75,-1.25]","[-9.75,-1.25]",2.5
dot ,"[9.75,-3.75]","[-9.75,-3.75]",3
dot ,"[9.75,-6.25]","[-9.75,-6.25]",0.5
dot ,"[9.75,-8.75]","[-9.75,-8.75]",1
dot ,"[12.25,8.75]","[-12.25,8.75]",1.5
dot ,"[12.25,6.25]","[-12.25,6.25]",2
dot ,"[12.25,3.75]","[-12.25,3.75]",2.5
dot ,"[12.25,1.25]","[-12.25,1.25]",3
dot ,"[12.25,-1.25]","[-12.25,-1.25]",0.5
dot ,"[12.25,-3.75]","[-12.25,-3.75]",1
dot ,"[12.25,-6.25]","[-12.25,-6.25]",1.5
dot ,"[12.25,-8.75]","[-12.25,-8.75]",2
,"[-2.25,8.75]","[2.25,8.75]",0.5
,"[-2.25,6.25]","[2.25,6.25]",1
,"[-2.25,3.75]","[2.25,3.75]",1.5
,"[-2.25,1.25]","[2.25,1.25]",2
,"[-2.25,-1.25]","[2.25,-1.25]",2.5
,"[-2.25,-3.75]","[2.25,-3.75]",3
,"[-2.25,-6.25]","[2.25,-6.25]",0.5
,"[-2.25,-8.75]","[2.25,-8.75]",1
,"[-4.75,8.75]","[4.75,8.75]",1.5
,"[-4.75,6.25]","[4.75,6.25]",2
,"[-4.75,3.75]","[4.75,3.75]",2.5
,"[-4.75,1.25]","[4.75,1.25]",3
,"[-4.75,-1.25]","[4.75,-1.25]",0.5
,"[-4.75,-3.75]","[4.75,-3.75]",1
,"[-4.75,-6.25]","[4.75,-6.25]",1.5
,"[-4.75,-8.75]","[4.75,-8.75]",2
,"[-7.25,8.75]","[7.25,8.75]",2.5
,"[-7.25,6.25]","[7.25,6.25]",3
,"[-7.25,3.75]","[7.25,3.75]",0.5
,"[-7.25,1.25]","[7.25,1.25]",1
,"[-7.25,-1.25]","[7.25,-1.25]",1.5
,"[-7.25,-3.75]","[7.25,-3.75]",2
,"[-7.25,-6.25]","[7.25,-6.25]",2.5
,"[-7.25,-8.75]","[7.25,-8.75]",3
,"[-9.75,8.75]","[9.75,8.75]",0.5
,"[-9.75,6.25]","[9.75,6.25]",1
,"[-9.75,3.75]","[9.75,3.75]",1.5
,"[-9.75,1.25]","[9.75,1.25]",2
,"[-9.75,-1.25]","[9.75,-1.25]",2.5
,"[-9.75,-3.75]","[9.75,-3.75]",3
,"[-9.75,-6.25]","[9.75,-6.25]",0.5
,"[-9.75,-8.75]","[9.75,-8.75]",1
,"[-12.25,8.75]","[12.25,8.75]",1.5
,"[-12.25,6.25]","[12.25,6.25]",2
,"[-12.25,3.75]","[12.25,3.75]",2.5
,"[-12.25,1.25]","[12.25,1.25]",3
,"[-12.25,-1.25]","[12.25,-1.25]",0.5
,"[-12.25,-3.75]","[12.25,-3.75]",1
,"[-12.25,-6.25]","[12.25,-6.25]",1.5
,"[-12.25,-8.75]","[12.25,-8.75]",2
