,location,correct_responses,given_responses,percentage
5,"[2.25, -8.75]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'right']",80.0
23,"[2.25, -6.25]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
16,"[2.25, -3.75]","['right', 'right', 'right', 'right', 'right']","['right', 'right', 'right', 'right', 'right']",100.0
28,"[2.25, -1.25]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
32,"[2.25, 1.25]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
14,"[2.25, 3.75]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
11,"[2.25, 6.25]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
30,"[2.25, 8.75]","['right', 'right', 'right', 'right', 'right']","['right', 'right', 'right', 'right', 'right']",100.0
25,"[4.75, -8.75]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
33,"[4.75, -6.25]","['right', 'right', 'right', 'right', 'right']","['right', 'right', 'left', 'right', 'right']",80.0
9,"[4.75, -3.75]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
2,"[4.75, -1.25]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
31,"[4.75, 1.25]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
35,"[4.75, 3.75]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
36,"[4.75, 6.25]","['right', 'right', 'right', 'right', 'right']","['right', 'right', 'right', 'right', 'right']",100.0
20,"[4.75, 8.75]","['right', 'right', 'right', 'right', 'right']","['right', 'right', 'right', 'right', 'right']",100.0
1,"[7.25, -8.75]","['right', 'right', 'right', 'right', 'right']","['right', 'right', 'right', 'right', 'right']",100.0
15,"[7.25, -6.25]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
6,"[7.25, -3.75]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
39,"[7.25, -1.25]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
4,"[7.25, 1.25]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
7,"[7.25, 3.75]","['right', 'right', 'right', 'right', 'right']","['right', 'right', 'right', 'right', 'left']",80.0
24,"[7.25, 6.25]","['right', 'right', 'right', 'right', 'right']","['right', 'right', 'right', 'right', 'right']",100.0
12,"[7.25, 8.75]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
38,"[9.75, -8.75]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
27,"[9.75, -6.25]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
18,"[9.75, -3.75]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
22,"[9.75, -1.25]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
10,"[9.75, 1.25]","['right', 'right', 'right', 'right', 'right']","['right', 'right', 'right', 'right', 'right']",100.0
34,"[9.75, 3.75]","['right', 'right', 'right', 'right', 'right']","['right', 'right', 'right', 'right', 'right']",100.0
3,"[9.75, 6.25]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
19,"[9.75, 8.75]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
17,"[12.25, -8.75]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
0,"[12.25, -6.25]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
37,"[12.25, -3.75]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
29,"[12.25, -1.25]","['right', 'right', 'right', 'right', 'right']","['right', 'right', 'right', 'right', 'right']",100.0
8,"[12.25, 1.25]","['right', 'right', 'right', 'right', 'right']","['right', 'right', 'right', 'right', 'right']",100.0
26,"[12.25, 3.75]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
21,"[12.25, 6.25]","['left', 'left', 'left', 'left', 'left']","['left', 'left', 'left', 'left', 'left']",100.0
13,"[12.25, 8.75]","['right', 'right', 'right', 'right', 'right']","['right', 'right', 'right', 'right', 'right']",100.0
